GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javamodule,org.example.constants,ForbiddenCharacters,3,0,0,0,1,0,1,0,1,0
javamodule,org.example.errors,CustomError,0,4,0,0,0,2,0,1,0,1
javamodule,org.example.service,Service,62,0,2,0,19,0,6,0,5,0
javamodule,org.example.repository,Repository,68,0,2,0,18,0,6,0,5,0
javamodule,org.example,Writer,0,52,0,4,0,11,0,6,0,4
javamodule,org.example,Service,62,0,2,0,19,0,6,0,5,0
javamodule,org.example,Repository,68,0,2,0,18,0,6,0,5,0
javamodule,org.example,App,11,0,0,0,5,0,3,0,3,0
javamodule,org.example,Main,27,0,0,0,7,0,3,0,3,0
javamodule,org.example,Balloon,0,44,2,4,0,12,2,4,0,3
javamodule,org.example,Reader,28,0,2,0,7,0,4,0,3,0
javamodule,org.example,Validator,8,74,2,6,2,12,2,5,0,3
javamodule,org.example,FileFactory,25,0,0,0,4,0,3,0,3,0
javamodule,org.example,Frequency,3,105,0,12,1,18,1,8,1,2
